Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,AutoSize,,,
ProLine Composites,,CR 38-4in Fiberglass,0,1.631,3.989,0.1,Fiberglass,0,0,0,0
ProLine Composites,,CR 75-4in Fiberglass,0,3.145,3.989,0.1,Fiberglass,0,0,0,0
ProLine Composites,,CR 38-5.5in Fiberglass,0,1.637,5.38,0.12,Fiberglass,0,0,0,0
ProLine Composites,,CR 54-5.5in Fiberglass,0,2.277,5.38,0.14,Fiberglass,0,0,0,0
ProLine Composites,,CR 75-5.5in Fiberglass,0,3.143,5.38,0.14,Fiberglass,0,0,0,0
ProLine Composites,,CR 98-5.5in Fiberglass,0,4.023,5.38,0.12,Fiberglass,0,0,0,0
ProLine Composites,,CR 54-6in Fiberglass,0,2.294,6.015,0.12,Fiberglass,0,0,0,0
ProLine Composites,,CR 75-6in Fiberglass,0,3.135,6.015,0.12,Fiberglass,0,0,0,0
ProLine Composites,,CR 98-6in Fiberglass,0,4.046,6.015,0.13,Fiberglass,0,0,0,0
ProLine Composites,,CR 54-7.5in Fiberglass,0,2.286,7.5,0.13,Fiberglass,0,0,0,0
ProLine Composites,,CR 75-7.5in Fiberglass,0,3.122,7.5,0.14,Fiberglass,0,0,0,0
ProLine Composites,,CR 98-7.5in Fiberglass,0,4.046,7.5,0.13,Fiberglass,0,0,0,0
Semroc,CR-58,Centering Ring,0,0.545,0.863,0.25,Paper,0,2,0,0
Semroc,CR-710,Centering Ring,0,0.761,0.998,0.25,Paper,0,2,0,0
Semroc,CR-713,Centering Ring,0,0.761,1.3,0.05,Paper,0,2,0,0
Semroc,CR-716,Centering Ring,0,0.761,1.6,0.05,Paper,0,2,0,0
Semroc,CR-720,Centering Ring,0,0.761,2,0.05,Paper,0,2,0,0
Semroc,CR-78,Centering Ring,0,0.761,0.863,0.25,Paper,0,2,0,0
Semroc,CR-79,Centering Ring,0,0.761,0.948,0.25,Paper,0,2,0,0
Semroc,CR-9115,Centering Ring,0,1,1.12,1,Paper,0,2,0,0
Semroc,CR-913,Centering Ring,0,1,1.3,0.05,Paper,0,2,0,0
Semroc,CR-916,Centering Ring,0,1,1.6,0.05,Paper,0,2,0,0
Semroc,CR-920,Centering Ring,0,1,2,0.05,Paper,0,2,0,0
