Mfg.,Part No.,Desc.,Units,Length,Outer Dia,L/D Ratio,Insert Length,Insert OD,Thickness,Shape,Config,Material,CG Loc,Mass Units,Mass,Base Ext. Len
Estes,BNC-5E,,0,1.38,0.544,0,0.25,0.419,0.125,2,1,Balsa,0.812,0,0.02,0
Estes,BNC-5S,,0,1.5,0.544,0,0.25,0.419,0.125,0,1,Balsa,0.875,0,0.016,0
Estes,BNC-5V,,0,0.75,0.544,0,0.25,0.419,0.125,2,1,Balsa,0.5,0,0.013,0
Estes,BNC-5W,,0,2.8,0.544,0,0.25,0.419,0.125,1,1,Balsa,1.52,0,0.039,0
Estes,BNC-70AJ,,0,4.4,2.22,0,0.75,2.09,0.125,2,1,"G10 (PML 0.062"")",2.58,0,0.85,0
Estes,DART,DART,0,2.88,0.736,0,0.5,0.71,0.032,1,1,Polystyrene PS,0,2,0,0
Estes,PNC-20,Reliant/Viking BT-20,1,72,18.7,0,20,17.5,1.75,1,1,Polystyrene PS,54,2,5.1,0
Estes,PNC-20,Solar racer,1,67.5,18.7,0,19,17.5,1.17,1,1,Polystyrene PS,45,2,3.35,0
Estes,PNC-55AC,PNC-55 AC BULL PUP - BT-55,mm,134.62,33.655,0,12.7,32.1005,0.9398,ogive,hollow,Polystyrene PS,0,g,0,0
Estes,PNC-55BB,PNC-55 BB,mm,165.1,33.655,0,24.892,32.1005,0.9906,cone,hollow,Polystyrene PS,0,g,0,0
Estes,PNC-60 Long A,PNC-60 Long Pack NC A,mm,133.35,41.656,0,31.75,39.6875,1.27,elliptical,hollow,Polystyrene PS,0,g,0,0
Estes,PNC-60 Long B,PNC-60 Long Pack NC B,mm,215.9,41.656,0,31.75,28.575,0.9931,ogive,hollow,Polystyrene PS,0,g,0,0
Estes,PNC-60 Long C,PNC-60 Long Pack NC C,mm,203.2,41.656,0,31.75,40.386,1.016,ogive,hollow,Polystyrene PS,0,g,0,0
Estes,PNC-60AH,,0,6.75,1.64,0,0.8,1.51,0.125,2,1,Polystyrene PS,3.77,0,1,0
Estes,PNC-60MS,,0,2.5,1.64,0,0.75,1.51,0.125,2,1,Polystyrene PS,1.62,0,0.39,0
Estes,PNC-80BB,,0,4,2.6,0,1.75,2.48,0.125,2,1,Polystyrene PS,2.88,0,1.18,0
Estes,PNC-80K,,0,8.15,2.6,0,1,2.48,0.125,1,1,Polystyrene PS,4.58,0,1.68,0
Estes,Reliant/Viking BT-20,,1,72,18.7,0,20,17.5,1.75,1,1,Polystyrene PS,54,2,5.1,0
Estes,Solar racer,,1,67.5,18.7,0,19,17.5,1.17,1,1,Polystyrene PS,45,2,3.35,0
Giant Leap,NC-2.56,2.56 in. Nosecone,1,228.6,65.024,0,0,0,1.778,1,1,Polycarbonate,0,2,0,55.88
Giant Leap,NC-3.00,3.00 in. Nosecone,1,285.75,76.2,0,0,0,1.778,1,1,Polycarbonate,0,2,0,76.2
Giant Leap,NC-3.90,3.90 in. Nosecone,1,419.1,99.06,0,0,0,2.032,1,1,Polycarbonate,0,2,0,83.82
Giant Leap,NC-38,38mm Nosecone,1,203.2,38,0,0,0,4.318,1,1,Polycarbonate,0,2,0,44.45
Giant Leap,NC-54,54mm Nosecone,1,279.4,54,0,0,0,2.286,1,1,Polycarbonate,0,2,0,76.2
LOC Precision,PNC-1.52,LOC PNC-1.52,0,8,1.6,0,2,1.48,0.125,1,1,Polypropylene,5,0,3.5,0
LOC Precision,PNC-1.52 THIN,LOC PNC-1.52 THIN,mm,203.2,41.402,0,50.8,37.592,1.7399,ogive,hollow,Polypropylene,0,g,0,0
LOC Precision,PNC-2.14,LOC PNC-2.14,0,9.5,2.3,0,2.5,2.17,0.125,1,1,Polypropylene,6,0,4,0
LOC Precision,PNC-2.56,LOC PNC-2.56,0,9,2.6,0,2.62,2.48,0.125,1,1,Polypropylene,5.81,0,3,0
LOC Precision,PNC-3.00,LOC PNC-3.00,0,11.2,3.1,0,3.75,2.98,0.125,1,1,Polypropylene,7.5,0,5,0
LOC Precision,PNC-3.90,LOC PNC-3.90,0,12.8,4,0,3.75,3.88,0.125,1,1,Polypropylene,8.25,0,5,0
LOC Precision,PNC-5.38 (Short),LOC PNC-5.38 (Short),0,13,5.5,0,4,5.38,0.125,1,1,Polypropylene,8.5,0,10,0
LOC Precision,PNC-5.38 (Long),LOC PNC-5.38 (Long),0,21,5.5,0,5,5.38,0.125,1,1,Polypropylene,17,0,20,0
LOC Precision,PNC-7.51,LOC PNC-7.51,0,22,7.67,0,5,7.55,0.125,1,1,Polypropylene,13.5,0,32,0
Madcow Rocketry,20146,"PNC-3.00"" (75mm) x 12.5""",0,12.5,3,0,2.38,2.952,0,2,1,Polypropylene,0,2,133.3,0
Madcow Rocketry,20147,PNC-4.00 (98mm) x 9.5in,mm,241.3,101.6,0,76.2,97.9932,2.413,parabolic,hollow,Polypropylene,0,g,0,0
Madcow Rocketry,20148,PNC-4.00 (98mm) x 16.5in,mm,419.1,101.6,0,82.55,97.9932,2.6822,parabolic,hollow,Polypropylene,0,g,0,0
Madcow Rocketry,,"2.6"" Fiberglass 3:1 Ogive Nose Cone",0,8.13,2.68,,2.5,2.58,0,1,1,Fiberglass,0,2,76.9,0
