Mfg.,Part no,Desc,Units,Name,Type,Length,Material,Mass units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PerfectFlite,9107,APRA Altimeter,mm,APRA Altimeter,general,,,g,15.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PerfectFlite,9106,PNUT Altimeter,mm,PNUT Altimeter,general,,,g,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PerfectFlite,9104,Stratologger Altimeter CF,mm,Stratologger Altimeter CF,general,,,g,10.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,SCM-1,Shock cord mount,mm,Shock cord mount,shockcord,304.8,1/16 In. braided nylon,g,7.0874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,SCM-2,Shock cord mount,mm,Shock cord mount,shockcord,457.2,1/16 In. braided nylon,g,7.0874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,SC-250,1/4 In Elastic shock cord,mm,Shock cord,shockcord,1828.8,1/4 In. flat elastic,g,7.0874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,SC-375,3/8 In Elastic shock cord,mm,Shock cord,shockcord,1651,3/8 inch Flat Elastic,g,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,SC-500,1/2 In Elastic shock cord,mm,Shock cord,shockcord,4572,1/2 In. flat elastic,g,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,SC-750,3/4 In Elastic shock cord,mm,Shock cord,shockcord,4572,3/4 In. flat elastic,g,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,SC-1000,1 In Elastic shock cord,mm,Shock cord,shockcord,4572,1 In. flat elastic,g,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,SCM-3,Shock cord mount,mm,Shock cord mount,shockcord,508,1/16 In. braided nylon,g,7.0874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,SCTN-20,Tubular Nylon 9/16 In x 20 Ft,mm,Shock cord,shockcord,6096,9/16 In. tubular nylon,g,102.0583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC Precision,SCTN-30,Tubular Nylon 9/16 In x 30 Ft,mm,Shock cord,shockcord,9144,9/16 In. tubular nylon,g,153.0874,,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874,153.0874
Madcow Rocketry,24081,24mm Retainer Plate,mm,24mm Retainer Plate,general,,Steel,g,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madcow Rocketry,24082,29mm Retainer Plate,mm,29mm Retainer Plate,general,,Steel,g,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madcow Rocketry,24083,29/38mm Retainer Plate,mm,29/38mm Retainer Plate,general,,Steel,g,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madcow Rocketry,24084,38mm Retainer Plate,mm,38mm Retainer Plate,general,,Steel,g,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semroc,EH-18,Engine Hook Mini,in.,Engine Hook Mini,general,0,,g,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semroc,EH-28,Engine Hook Standard,in.,Engine Hook Standard,general,0,,g,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semroc,EH-38,Engine Hook E,in.,Engine Hook E,general,0,,g,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semroc,SE-10,Screw Eye,in.,Screw Eye,general,0,,g,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semroc,SE-12,Screw Eye-Large,in.,Screw Eye-Large,general,0,,g,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
