Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,,
Estes,EST 3086,BT-50,0,0.95,0.98,18,Paper,,2,0
Estes,EST 3087,BT-55,0,1.28,1.32,18,Paper,,2,0
Estes,EST 3088,BT-56,0,1.3,1.35,18,Paper,,2,0
Estes,EST 3089,BT-60,0,1.59,1.64,18,Paper,,2,0
Estes,EST 3090,BT-80,0,2.59,2.6,14.2,Paper,,2,0
Estes,Estes,BT-70,0,2.18,2.22,17.5,Paper,,2,0
Estes,Estes,BT-3,0,0.35,0.38,18,Paper,,2,0
LOC/Precision,11005,38mm Body Tube,0,1.52,1.64,34,Paper,,2,118
LOC/Precision,11010,54mm Body Tube,0,2.14,2.26,34,Paper,,2,192
LOC/Precision,11013,"2.56"" Body Tube",0,2.56,2.63,30,Paper,,2,158
LOC/Precision,11017,75mm Body Tube,0,3,3.1,34,Paper,,2,226
LOC/Precision,11018,75mm Motor Mount,0,3,3.18,34,Paper,,2,392
LOC/Precision,11021,98mm Body Tube,0,3.9,4,34,Paper,,2,298
LOC/Precision,11021,98mm Body Tube,0,3.9,4.08,34,Paper,,2,298
LOC/Precision,11022,98mm Motor Mount,0,3.9,4.02,34,Paper,,2,508
LOC/Precision,11025,"5.38"" Body Tube",0,5.38,5.54,45,Paper,,2,784
LOC/Precision,11027,"7.51"" Body Tube",0,7.52,7.68,60,Paper,,2,1726.77
LOC/Precision,LOC MMT-0.95,Motor mount tube,0,0.95,1,34,Paper,,2,0
LOC/Precision,LOC MMT-1.14,Motor mount tube,0,1.14,1.21,34,Paper,,2,0
LOC/Precision,LOC MMT-1.52,Motor mount tube,0,1.52,1.64,34,Paper,,2,0
LOC/Precision,LOC MMT-2.14,Motor mount tube,0,2.14,2.26,30,Paper,,2,0
LOC/Precision,LOC TWT 7.01,Secondary Tube,1,173,178,272,Paper,,2,0
Mach I,10630,"18mm x 48"" Fiberglass Body Tube",0,0.7,0.75,48,Fiberglass,,2,78.2
Mach I,10633,"41.6mm x 48"" Fiberglass Body Tube",0,1.56,1.64,48,Fiberglass,,2,191.7
Mach I,10634,"54mm x 48"" Fiberglass Body Tube",0,2.13,2.24,48,Fiberglass,,2,464.3
Mach I,10635,"66mm x 48"" Fiberglass Body Tube",0,2.56,2.65,48,Fiberglass,,2,633.5
Mach I,10636,"3 x 48"""" Fiberglass Body Tube""",0,2.99,3.09,48,Fiberglass,,2,694.6
Mach I,10637,"98mm x 48"" Fiberglass Body Tube",0,3.89,4.04,48,Fiberglass,,2,1289.3
Madcow Rocketry,10601,"29mm x 48"" Fiberglass Tube",0,1.14,1.25,48,Fiberglass,,2,276.9
Madcow Rocketry,10622,"38mm x 48"" Fiberglass Tube",0,1.52,1.6,48,Fiberglass,,2,273
Madcow Rocketry,10623,"54mm x 48"" Fiberglass Tube",0,2.15,2.23,48,Fiberglass,,2,413.2
Madcow Rocketry,10625,"3"" x 48"" Fiberglass Tube",0,3,3.1,48,Fiberglass,,2,658
